chance_of_playing_next_round,chance_of_playing_this_round,code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,element_type,ep_next,ep_this,event_points,first_name,form,id,in_dreamteam,news,news_added,now_cost,photo,points_per_game,second_name,selected_by_percent,special,squad_number,status,team,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,gw,name,position
,,114283,0,0,3,-3,2,3,9.7,10.2,13,Jack,10.2,37,True,,,73,114283.jpg,8.7,Grealish,29.0,False,,a,2,7,52,1809898,59900,519344,29305,1.4,7.1,Grealish,540,4,5,3,9,0,0,0,1,0,0,3,183,206.8,187.0,237.0,63.0,13,7,9,7,14,6,7,6,3.0,,7.0,,4.0,,7,Jack Grealish,MID
,,122806,0,0,0,0,0,3,4.3,4.8,2,John,4.8,38,False,,,55,122806.jpg,5.2,McGinn,2.7,False,,a,2,7,31,218700,2927,72845,6835,0.9,5.6,McGinn,540,1,4,3,9,0,0,0,3,0,0,2,112,140.6,143.6,72.0,35.6,42,13,23,17,82,46,40,22,2.0,,6.0,,,,7,John McGinn,MID
0.0,0.0,123354,0,0,-1,1,0,2,0.0,0.0,0,Kortney,0.0,39,False,Groin Injury - Unknown return date,2020-10-01T22:30:14.186065Z,44,123354.jpg,0.0,Hause,0.0,False,,i,2,7,0,629,0,3933,62,0.0,0.0,Hause,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,462,181,444,180,413,166,467,181,,,,,,,7,Kortney Hause,DEF
,,148508,0,0,-1,1,0,3,2.5,3.0,2,Mahmoud Ahmed,3.0,40,False,,,54,148508.jpg,3.0,Ibrahim Hassan,1.0,False,,a,2,7,18,38005,461,70227,1874,0.6,3.3,Trézéguet,465,0,1,3,6,0,0,0,0,0,0,0,68,74.8,91.3,78.0,24.3,156,60,56,41,73,43,77,43,,,3.0,,,,7,Mahmoud Ahmed Ibrahim Hassan,MID
,,149484,0,0,2,-2,2,2,3.0,3.5,6,Tyrone,3.5,41,True,,,52,149484.jpg,6.0,Mings,10.2,False,,a,2,7,36,705773,12146,161932,10430,0.7,6.9,Mings,540,2,1,3,9,0,0,0,2,0,0,3,144,147.2,24.3,44.0,21.7,35,8,202,57,138,30,93,18,,,,,,,7,Tyrone Mings,DEF
,,169359,0,0,0,0,0,2,1.5,2.0,0,Matt,2.0,42,False,,,45,169359.jpg,3.0,Targett,1.8,False,,a,2,7,18,114152,1794,53071,2358,0.4,4.0,Targett,540,0,0,3,9,0,0,0,2,0,0,0,96,45.4,29.3,32.0,10.8,222,90,181,48,174,47,207,71,6.0,,5.0,,,,7,Matt Targett,DEF
0.0,0.0,184386,0,0,0,0,0,2,0.0,0.0,0,James,0.0,43,False,Joined Luton Town on a permanent deal on 1/9,2020-09-02T09:00:10.425295Z,45,184386.jpg,0.0,Bree,0.0,False,,u,2,7,0,9786,0,10192,0,0.0,0.0,Bree,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,499,196,486,196,459,184,503,196,,,,,,,7,James Bree,DEF
,,184704,0,0,-1,1,0,3,-0.5,0.0,0,Marvelous,0.0,44,False,,,44,184704.jpg,0.5,Nakamba,0.4,False,,a,2,7,1,10305,171,24267,398,0.0,0.2,Nakamba,13,0,0,0,0,0,0,0,1,0,0,0,4,8.4,0.6,7.0,1.7,349,156,355,173,280,145,367,164,,,,,,,7,Marvelous Nakamba,MID
,,193488,0,0,-2,2,0,3,-0.5,0.0,0,Anwar,0.0,45,False,,,58,193488.jpg,0.0,El Ghazi,0.1,False,,a,2,7,0,2751,40,8664,121,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,581,233,580,231,581,231,585,233,5.0,,2.0,,2.0,,7,Anwar El Ghazi,MID
,,199798,0,0,2,-2,1,2,1.5,2.0,0,Ezri,2.0,46,False,,,47,199798.jpg,4.8,Konsa Ngoyo,8.2,False,,a,2,7,29,671922,6685,167864,11971,0.4,6.2,Konsa,540,1,0,3,9,0,0,0,0,0,0,3,119,123.0,0.5,59.0,18.2,62,19,360,137,101,17,126,36,,,,,,,7,Ezri Konsa Ngoyo,DEF
